; 0	t	requests	pageviews	uniques	bytes_client	bandwidth_saved_pct
1	2015-06-01	221	18	105	381291	2.55
2	2015-06-02	544	0	211	215360	0.00
3	2015-06-03	667	0	220	278050	0.00
4	2015-06-04	761	0	258	316307	0.00
5	2015-06-05	75	0	45	31853	0.00
6	2015-06-06	5	0	5	1618	0.00
7	2015-06-08	1	0	1	345	0.00
8	2015-06-15	8	8	8	3712	0.00
9	2015-06-16	15	15	13	6960	0.00
10	2015-06-17	8	8	8	3712	0.00
11	2015-06-18	6	6	5	2784	0.00
12	2015-06-19	26	24	11	14339	0.00
13	2015-06-20	10	10	8	4640	0.00
14	2015-06-21	14	14	13	6496	0.00
15	2015-06-22	16	16	14	7424	0.00
16	2015-06-26	685	187	308	2023915	29.19
17	2015-06-27	2603	38	1416	2772479	66.64
18	2015-06-28	4183	46	2106	3920852	75.41
19	2015-06-29	3021	44	1503	3019672	70.48
20	2015-06-30	2846	30	1285	2690370	80.88
21	2015-07-01	3222	41	1343	4120088	70.45
22	2015-07-02	3739	32	1960	3412965	80.08
23	2015-07-03	2739	40	1082	3206174	63.93
24	2015-07-04	2754	24	1172	2813858	78.57
25	2015-07-05	2284	14	1015	2256509	78.01
26	2015-07-06	2324	16	844	2958220	67.70
27	2015-07-07	2157	25	900	2890362	56.29
28	2015-07-08	3423	41	1396	4805719	68.82
29	2015-07-09	3010	58	1264	5315516	50.42
30	2015-07-10	2284	63	867	3547000	55.91
31	2015-07-11	2283	39	833	3094297	59.56
32	2015-07-12	1763	36	761	2313910	64.98
33	2015-07-13	1703	9	813	2082157	75.18
34	2015-07-14	2206	28	940	2967861	69.00
35	2015-07-15	2733	80	1191	5551468	63.36
36	2015-07-16	4355	183	1725	16956966	73.61
37	2015-07-17	2919	393	1160	9420940	57.03
38	2015-07-18	9491	614	2435	63972206	83.19
39	2015-07-19	20115	867	4446	260137773	92.37
40	2015-07-20	51104	38491	4323	333015717	53.89
41	2015-07-21	620707	515548	7148	3367092415	24.80
42	2015-07-22	76028	56155	5066	1280981798	40.30
43	2015-07-23	495111	384101	6233	3934124339	23.35
44	2015-07-24	47685	25258	5261	874251291	66.08
45	2015-07-25	34084	13218	4466	717601155	87.34
46	2015-07-26	29440	9129	4236	864302401	89.83
47	2015-07-27	44136	19089	4690	1083107336	85.41
48	2015-07-28	45175	26814	4252	828028261	68.38
49	2015-07-29	44413	30181	4393	777941774	52.42
50	2015-07-30	28808	16598	4564	515516622	73.03
51	2015-07-31	33900	20426	3943	625453425	64.42
52	2015-08-01	33601	18959	3571	627660748	67.58
53	2015-08-02	54712	18685	5771	1361239016	87.25
54	2015-08-03	54615	18567	6149	1304452422	85.16
55	2015-08-04	121489	23553	9965	5401143028	94.36
56	2015-08-05	78064	20829	7374	3335235986	90.65
57	2015-08-06	18890212	22728	45050	69081592087	8.19
58	2015-08-07	326270298	3143	76386	203666039326	89.77
59	2015-08-08	380064	77	484	580069365	0.46
60	2015-08-09	19	0	13	30074	0.00
61	2015-08-10	156	0	7	161165	0.00
62	2015-08-11	8	0	6	11575	0.00
63	2015-08-12	8	0	8	12816	0.00
64	2015-08-13	509622	3176	1927	1137164772	26.73
65	2015-08-14	1421983	14337	5094	3424398740	31.78
66	2015-08-15	1058809	12386	6032	4560252784	62.52
67	2015-08-16	885393	10512	7561	6234271060	77.38
68	2015-08-17	670075	10587	4640	2709391205	60.22
69	2015-08-18	780239	12212	5098	2518264056	49.68
70	2015-08-19	4507851724	24797	647955	3601083516002	35.20
71	2015-08-20	10217417	0	8685	45487724710	100.00
72	2015-08-21	134783	0	169	600955440	100.00
73	2015-08-22	18761	0	62	82611408	100.00
74	2015-08-23	26867	0	63	118703112	100.00
75	2015-08-24	1627	0	20	7154865	100.00
76	2015-08-25	26800	0	9	119511920	100.00
77	2015-08-26	113	0	7	491450	100.00
78	2015-08-27	15904	0	6	70941328	100.00
79	2015-08-28	2	0	2	8917	100.00
80	2015-08-29	4777	0	1	21314974	100.00
81	2015-08-30	5664	0	1	25272768	100.00
82	2015-09-01	6712	0	2	29948945	100.00
83	2015-09-04	16	0	16	71320	100.00
84	2015-09-05	4	0	4	17832	100.00
85	
